ActivityStartDate,MonitoringLocationIdentifier,ResultMeasureValue,ResultMeasure/MeasureUnitCode
2014-08-20,OREGONDEQ-13284-ORDEQ,Total,0.107
2014-08-21,OREGONDEQ-22985-ORDEQ,Total,0.137
2014-09-23,OREGONDEQ-12261-ORDEQ,Total,1.54
2014-08-20,OREGONDEQ-12022-ORDEQ,Total,3.55
2014-09-15,OREGONDEQ-10517-ORDEQ,Total,1.52
2014-08-12,OREGONDEQ-10724-ORDEQ,Total,3.56
2014-07-09,OREGONDEQ-10812-ORDEQ,Total,0.784
2014-09-17,OREGONDEQ-10768-ORDEQ,Total,6.73
2014-08-13,OREGONDEQ-10729-ORDEQ,Total,30.8
2014-08-13,OREGONDEQ-11494-ORDEQ,Total,5.32
2014-12-10,OREGONDEQ-11043-ORDEQ,Total,22.8
2014-08-21,OREGONDEQ-11201-ORDEQ,Total,1.55
2014-08-18,OREGONDEQ-37743-ORDEQ,Total,1.25
2014-07-14,OREGONDEQ-10996-ORDEQ,Total,0.686
2014-09-17,OREGONDEQ-10765-ORDEQ,Total,5.98
2014-08-14,OREGONDEQ-31990-ORDEQ,Total,0.826
2014-08-12,OREGONDEQ-11490-ORDEQ,Total,4.15
2014-09-24,OREGONDEQ-10741-ORDEQ,Total,1.65
2014-07-16,OREGONDEQ-13574-ORDEQ,Total,0.435
2014-07-17,OREGONDEQ-10393-ORDEQ,Total,0.346
2014-11-13,OREGONDEQ-10812-ORDEQ,Total,0.584
2014-12-10,OREGONDEQ-11494-ORDEQ,Total,2.74
2014-09-17,OREGONDEQ-10602-ORDEQ,Total,1.97
2014-08-19,OREGONDEQ-12711-ORDEQ,Total,0.24
2014-09-23,OREGONDEQ-12264-ORDEQ,Total,8.84
2014-08-13,OREGONDEQ-10407-ORDEQ,Total,29.2
2014-08-21,OREGONDEQ-10404-ORDEQ,Total,0.143
2014-08-19,OREGONDEQ-37781-ORDEQ,Total,0.14
